County	State	Total Comps	For Sale Comps (All)	Sold Comps (All)	Sold Comps (6m)	Sold Comps (3m)	Listed Comps (12m)	Listed Comps (6m)	Listed Comps (3m)	Sold-For Sale Ratio	Sold-Listed Ratio (12m)	Sold-Listed Ratio (6m)	Sold-Listed Ratio (3m)	Parcels on Market Ratio	Total DataTree Parcels	Total Out of State Owner Parcels	Total Out of County Owner Parcels	Out of State to Total Ratio	Out of County to Total Ratio	Coefficient of Variation	Coefficient of Variation (6m)	Coefficient of Variation (3m)	Days on Market	MoM Price Change %	Economic Rank	Economic Score	Population	Population Change (2010-2019)	Population Change %	Population-Sq Mile
Kershaw County	South Carolina	1333	953	380	105	49	218	177	121	0.4	1.74	0.59	0.4	0.076	12484	2336	4991	0.187	0.4	0.81	0.77	0.77	154.4	-0.39	1573	-0.13	66551	4841	7.3	89.9
Lancaster County	South Carolina	1706	1028	678	282	167	365	198	121	0.66	1.86	1.42	1.38	0.122	8413	1973	2929	0.235	0.348	1.05	0.92	0.85	191.7	3.61	1113	0.27	98012	21041	21.5	176.5
Laurens County	South Carolina	1758	1192	566	179	81	466	350	262	0.47	1.21	0.51	0.31	0.094	12732	1187	4315	0.093	0.339	0.64	0.63	0.63	140.8	-0.75	1696	-0.23	67493	988	1.5	93.2
Lee County	South Carolina	246	198	48	8	4	16	14	11	0.24	3	0.57	0.36	0.051	3882	636	1982	0.164	0.511	0.43	0.42	0.42	192.5	1.37	2408	-0.94	16828	-2394	-14.2	40.9
Lexington County	South Carolina	2466	1880	586	132	66	576	420	315	0.31	1.02	0.31	0.21	0.119	15782	1262	3889	0.08	0.246	1.38	1.32	1.31	173.1	2.74	1032	0.34	298750	35393	11.8	394.2
Marion County	South Carolina	400	321	79	27	9	101	89	70	0.25	0.78	0.3	0.13	0.069	4636	806	2095	0.174	0.452	0.45	0.46	0.46	250.6	-2.54	1617	-0.17	30657	-2299	-7.5	62
Marlboro County	South Carolina	235	173	62	9	4	24	19	7	0.36	2.58	0.47	0.57	0.073	2370	788	1410	0.332	0.595	0.45	0.39	0.39	220.8	-3.67	1750	-0.27	26118	-2799	-10.7	53.8
McCormick County	South Carolina	740	610	130	47	17	375	203	105	0.21	0.35	0.23	0.16	0.091	6724	1945	3126	0.289	0.465	0.26	0.25	0.24	285	-0.15	953	0.43	9463	-746	-7.9	24
Newberry County	South Carolina	884	690	194	40	15	225	156	130	0.28	0.86	0.26	0.12	0.088	7858	829	2747	0.105	0.35	0.58	0.51	0.51	133.8	0.86	1248	0.13	38440	831	2.2	59.4
Oconee County	South Carolina	3939	2359	1580	567	323	1115	665	497	0.67	1.42	0.85	0.65	0.164	14353	4794	7743	0.334	0.539	0.72	0.65	0.65	205.7	-0.64	206	2.33	79546	5198	6.5	118.1
Orangeburg County	South Carolina	1774	1305	469	115	42	551	424	328	0.36	0.85	0.27	0.13	0.059	22015	3135	7860	0.142	0.357	0.73	0.71	0.71	229.8	-0.45	1645	-0.19	86175	-6146	-7.1	76.4
Pickens County	South Carolina	2097	1291	806	282	158	551	346	226	0.62	1.46	0.82	0.7	0.075	17233	1926	5005	0.112	0.29	0.61	0.46	0.46	198	2.51	299	1.85	126884	7547	5.9	247.9
Richland County	South Carolina	2061	1598	463	139	60	763	624	315	0.29	0.61	0.22	0.19	0.318	5029	536	1343	0.107	0.267	1.05	0.98	0.98	199.4	4.24	1119	0.26	415759	30024	7.2	538.7
Saluda County	South Carolina	323	284	39	1	1	71	46	44	0.14	0.55	0.02	0.02	0.054	5214	522	2311	0.1	0.443	0.36	0.35	0.35	118	-4.74	1458	-0.04	20473	566	2.8	44.3
Spartanburg County	South Carolina	4815	2787	2028	661	303	1171	778	511	0.73	1.73	0.85	0.59	0.096	29148	2893	6667	0.099	0.229	0.68	0.61	0.62	167.4	-7.37	1416	-0.01	319785	35054	11	390.4
Sumter County	South Carolina	1014	721	293	112	67	345	283	246	0.41	0.85	0.4	0.27	0.137	5257	854	1910	0.162	0.363	0.81	0.73	0.73	278.5	8.17	940	0.45	106721	-886	-0.8	156.5
Union County	South Carolina	434	279	155	15	4	27	20	12	0.56	5.74	0.75	0.33	0.111	2511	513	1269	0.204	0.505	0.46	0.39	0.39	198.1	6.23	2102	-0.59	27316	-1614	-5.9	52.9
Williamsburg County	South Carolina	757	527	230	88	46	180	146	112	0.44	1.28	0.6	0.41	0.067	7837	2127	3799	0.271	0.485	0.4	0.38	0.38	137.3	-0.4	2113	-0.6	30368	-3979	-13.1	32.4
York County	South Carolina	2481	1626	855	349	191	555	324	188	0.53	1.54	1.08	1.02	0.082	19716	4866	5794	0.247	0.294	0.67	0.63	0.63	237.5	-2	1363	0.04	280979	54114	19.3	403.9
Aurora County	South Dakota	7	7	0	0	0	0	0	0	0	0	0	0	0.002	3275	368	1647	0.112	0.503	0	0	0			2895	-1.64	2751	50	1.8	3.9
Beadle County	South Dakota	111	99	12	6	2	24	23	23	0.12	0.5	0.26	0.09	0.014	7023	687	1847	0.098	0.263	0.19	0.19	0.18	115.8	-2.45	2969	-1.82	18453	1047	5.7	14.6
Bennett County	South Dakota	23	19	4	0	0	2	1	1	0.21	2	0	0	0.008	2282	771	1110	0.338	0.486	0.03	0.02	0.02	3		879	0.51	3365	-86	-2.6	2.8
Bon Homme County	South Dakota	69	57	12	0	0	12	11	11	0.21	1	0	0	0.014	4221	466	1356	0.11	0.321	0.15	0.16	0.16	508.1	2.72	2357	-0.88	6901	-160	-2.3	11.9
Brookings County	South Dakota	224	203	21	7	3	120	33	31	0.1	0.17	0.21	0.1	0.046	4402	571	1378	0.13	0.313	0.13	0.12	0.12	413.7	-10.55	2904	-1.65	35077	3078	8.8	43.6
Brown County	South Dakota	451	408	43	16	7	116	87	78	0.11	0.37	0.18	0.09	0.046	8813	1076	1960	0.122	0.222	0.42	0.43	0.43	318.6	-0.15	2853	-1.57	38839	2186	5.6	22.4
Brule County	South Dakota	42	39	3	1	1	18	18	15	0.08	0.17	0.06	0.07	0.011	3641	312	1909	0.086	0.524	0.05	0.05	0.05	28.4	-6.51	2241	-0.74	5297	15	0.3	6.3
Buffalo County	South Dakota	3	3	0	0	0	0	0	0	0	0	0	0	0.002	1570	229	838	0.146	0.534	0	0	0			2598	-1.18	1962	28	1.4	4
Butte County	South Dakota	635	532	103	27	10	182	55	17	0.19	0.57	0.49	0.59	0.092	5786	853	2696	0.147	0.466	0.36	0.29	0.3	264.4	-1.81	845	0.55	10429	285	2.7	4.6
Campbell County	South Dakota	3	2	1	0	0	0	0	0	0.5	1	0	0	0.001	3574	632	1721	0.177	0.482	0	0	0			2355	-0.87	1376	-95	-6.9	1.8
Charles Mix County	South Dakota	123	119	4	0	0	67	67	67	0.03	0.06	0	0	0.016	7231	777	2374	0.107	0.328	0.15	0.15	0.15	43.4		2080	-0.56	9292	138	1.5	8.1
Clark County	South Dakota	10	10	0	0	0	2	2	2	0	0	0	0	0.002	4862	624	2227	0.128	0.458	0.04	0.04	0.04	13		2889	-1.63	3736	38	1	3.9
Clay County	South Dakota	197	188	9	2	0	62	51	50	0.05	0.15	0.04	0	0.054	3467	597	1644	0.172	0.474	0.22	0.23	0.23	206.5	0.34	2280	-0.78	14070	242	1.7	33.8
Codington County	South Dakota	153	126	27	9	3	122	62	60	0.21	0.22	0.15	0.05	0.027	4698	441	1614	0.094	0.344	0.08	0.08	0.08	214.3	11.62	2332	-0.84	28009	797	2.8	39.1
Corson County	South Dakota	22	21	1	0	0	14	14	14	0.05	0.07	0	0	0.006	3791	873	1995	0.23	0.526	0	0	0	88		1946	-0.45	4086	19	0.5	1.6
Custer County	South Dakota	1376	1076	300	135	92	448	272	240	0.28	0.67	0.5	0.38	0.172	6271	1192	3824	0.19	0.61	0.43	0.39	0.39	107.3	0.78	642	0.84	8972	697	7.8	5.8
Davison County	South Dakota	55	46	9	1	1	18	14	10	0.2	0.5	0.07	0.1	0.018	2579	193	749	0.075	0.29	0.05	0.05	0.05	101.1	0.02	3059	-2.17	19775	293	1.5	45.3
Day County	South Dakota	81	73	8	3	0	17	15	13	0.11	0.47	0.2	0	0.011	6576	829	2262	0.126	0.344	0.14	0.14	0.14	126.6	7.61	1911	-0.41	5424	-285	-5.3	5
Deuel County	South Dakota	50	48	2	1	0	31	26	24	0.04	0.06	0.04	0	0.015	3206	618	1394	0.193	0.435	0.06	0.04	0.04	135.7	-7.65	2301	-0.81	4351	1	0	6.8
Dewey County	South Dakota	5	4	1	0	0	1	1	1	0.25	1	0	0	0.001	4802	313	1595	0.065	0.332	0.03	0	0			962	0.42	5892	565	9.6	2.4
Douglas County	South Dakota	7	7	0	0	0	0	0	0	0	0	0	0	0.003	2549	277	976	0.109	0.383	0.05	0.05	0.05			3014	-1.98	2921	-73	-2.5	6.7
Edmunds County	South Dakota	62	53	9	0	0	24	20	18	0.17	0.38	0	0	0.009	5868	622	2170	0.106	0.37	0.07	0.07	0.07	76.8	0.58	2731	-1.37	3829	-236	-6.2	3.3
Fall River County	South Dakota	1059	927	132	25	6	288	166	58	0.14	0.46	0.15	0.1	0.174	5327	1099	2047	0.206	0.384	0.33	0.33	0.33	181.2	0.89	474	1.21	6713	-401	-6	3.8
Faulk County	South Dakota	4	4	0	0	0	0	0	0	0	0	0	0	0.001	4881	610	1987	0.125	0.407	0.03	0.03	0.03			2568	-1.13	2299	-69	-3	2.3
Grant County	South Dakota	74	61	13	6	1	14	14	10	0.21	0.93	0.43	0.1	0.017	3643	671	1392	0.184	0.382	0.05	0.05	0.04	69.6		2666	-1.28	7052	-297	-4.2	10.3
Gregory County	South Dakota	125	107	18	1	1	19	19	19	0.17	0.95	0.05	0.05	0.027	3970	938	1643	0.236	0.414	0.18	0.18	0.18	45.1	1.27	1551	-0.12	4185	-85	-2	4
Haakon County	South Dakota	15	9	6	2	2	3	2	0	0.67	2	1	2	0.001	8433	724	3230	0.086	0.383	0.05	0.04	0.04	106.3	-21.05	1446	-0.03	1899	-32	-1.7	1
Hamlin County	South Dakota	54	45	9	4	1	16	12	8	0.2	0.56	0.33	0.12	0.012	3764	452	1487	0.12	0.395	0.06	0.06	0.07	136.5	-33.51	2175	-0.67	6164	249	4	11.5
Hand County	South Dakota	5	4	1	0	0	0	0	0	0.25	1	0	0	0.001	5962	765	2170	0.128	0.364	0.03	0.02	0.02			2763	-1.43	3191	-243	-7.6	2.2
Hanson County	South Dakota	14	14	0	0	0	0	0	0	0	0	0	0	0.007	2042	196	933	0.096	0.457	0.04	0.04	0.04	1944	0	2967	-1.81	3453	123	3.6	7.9
Harding County	South Dakota	24	23	1	0	0	16	16	14	0.04	0.06	0	0	0.005	4986	906	1494	0.182	0.3	0	0	0	24.5	-11.22	1534	-0.11	1298	52	4	0.5
Hughes County	South Dakota	145	68	77	72	70	117	113	111	1.13	0.66	0.64	0.63	0.019	3637	366	1022	0.101	0.281	0.12	0.11	0.11	62.4	-6.69	1303	0.08	17526	454	2.6	21.9
Hutchinson County	South Dakota	29	25	4	2	0	6	6	5	0.16	0.67	0.33	0	0.004	6204	743	2206	0.12	0.356	0.07	0.07	0.07	44.5	10.77	2935	-1.71	7291	-46	-0.6	9
Hyde County	South Dakota	3	1	2	0	0	0	0	0	2	2	0	0	0	3425	272	1526	0.079	0.446	0	0	0			2658	-1.26	1301	-121	-9.3	1.5
Jackson County	South Dakota	4	4	0	0	0	1	1	0	0	0	0	0	0.001	3479	336	1253	0.097	0.36	0	0	0	178		1683	-0.22	3344	294	8.8	1.8
Jerauld County	South Dakota	8	6	2	1	0	0	0	0	0.33	2	1	0	0.002	2760	293	1110	0.106	0.402	0.05	0.05	0.02			2741	-1.38	2013	-78	-3.9	3.8
Jones County	South Dakota	5	5	0	0	0	0	0	0	0	0	0	0	0.002	2514	236	1091	0.094	0.434	0	0	0			2073	-0.55	903	-108	-12	0.9
Kingsbury County	South Dakota	50	49	1	0	0	13	4	4	0.02	0.08	0	0	0.012	4199	453	1614	0.108	0.384	0.1	0.09	0.09	225.5	-0.12	1975	-0.47	4939	-193	-3.9	5.7
Lake County	South Dakota	104	92	12	4	1	40	31	10	0.13	0.3	0.13	0.1	0.03	3030	336	1132	0.111	0.374	0.1	0.1	0.1	199.5	7.99	2557	-1.11	12797	1518	11.9	22.3
Lawrence County	South Dakota	3644	3162	482	236	145	927	421	216	0.15	0.52	0.56	0.67	0.524	6037	1337	2610	0.221	0.432	0.64	0.62	0.62	251.6	-1.27	433	1.31	25844	1639	6.3	32.3
Lincoln County	South Dakota	729	662	67	15	5	207	186	145	0.1	0.32	0.08	0.03	0.16	4133	668	1781	0.162	0.431	0.31	0.31	0.31	158.9	-1.37	3070	-2.2	61128	15945	26.1	105.6
Lyman County	South Dakota	57	36	21	11	11	19	15	15	0.58	1.11	0.73	0.73	0.006	6001	689	2404	0.115	0.401	0.06	0.07	0.07	98.5	-6.72	2207	-0.7	3781	20	0.5	2.2
Marshall County	South Dakota	63	60	3	2	0	34	32	32	0.05	0.09	0.06	0	0.012	5211	803	1839	0.154	0.353	0.1	0.1	0.1	27.7	10.01	2019	-0.51	4935	293	5.9	5.6
McCook County	South Dakota	65	62	3	1	1	14	9	6	0.05	0.21	0.11	0.17	0.02	3151	349	1352	0.111	0.429	0.05	0.05	0.05	110.5	-2.15	2856	-1.57	5586	-23	-0.4	9.7
McPherson County	South Dakota	6	4	2	0	0	0	0	0	0.5	2	0	0	0.001	6255	963	2704	0.154	0.432	0.04	0.02	0.02			2795	-1.47	2379	-76	-3.2	2.1
Meade County	South Dakota	1099	940	159	60	24	447	242	145	0.17	0.36	0.25	0.17	0.107	8756	746	2685	0.085	0.307	0.45	0.44	0.44	182.4	2.01	2232	-0.73	28332	2848	10.1	8.1
Mellette County	South Dakota	52	39	13	7	7	42	14	12	0.33	0.31	0.5	0.58	0.009	4351	493	1830	0.113	0.421	0.17	0.15	0.15	219.2	-4.49	1714	-0.24	2061	35	1.7	1.6
Miner County	South Dakota	6	5	1	0	0	0	0	0	0.2	1	0	0	0.002	3102	388	1527	0.125	0.492	0	0	0			2970	-1.82	2216	-158	-7.1	3.9
Minnehaha County	South Dakota	1602	1446	156	40	16	784	447	287	0.11	0.2	0.09	0.06	0.24	6035	490	999	0.081	0.166	0.44	0.44	0.44	219	1.64	2669	-1.28	193134	23179	12	237.4
Moody County	South Dakota	58	55	3	0	0	34	17	17	0.05	0.09	0	0	0.023	2427	303	973	0.125	0.401	0.15	0.15	0.15	156.2	9.33	2798	-1.47	6576	83	1.3	12.6
Pennington County	South Dakota	1344	1023	321	175	122	532	298	239	0.31	0.6	0.59	0.51	0.074	13833	1505	2874	0.109	0.208	0.53	0.53	0.54	148	1.94	638	0.85	113775	12532	11	40.9
Perkins County	South Dakota	20	18	2	0	0	1	0	0	0.11	2	0	0	0.001	13219	2313	4737	0.175	0.358	0.06	0.06	0.06	305	12.51	1665	-0.2	2865	-123	-4.3	1
Potter County	South Dakota	1	0	1	1	1	1	1	1	1	1	1	1	0	4046	391	1147	0.097	0.283	0	0	0	22		1992	-0.48	2153	-198	-9.2	2.4
Roberts County	South Dakota	170	168	2	1	1	18	10	8	0.01	0.11	0.1	0.12	0.024	7106	1385	2631	0.195	0.37	0.13	0.13	0.13	151.1	-1.16	2116	-0.6	10394	205	2	9.2
Sanborn County	South Dakota	17	16	1	0	0	0	0	0	0.06	1	0	0	0.005	3126	313	1334	0.1	0.427	0.2	0.2	0.2		0	2884	-1.62	2344	-10	-0.4	4.1
Shannon County	South Dakota	0	0	0	0	0	0	0	0	0	0	0	0	0.001	720	82	191	0.114	0.265	0	0	0			2015	-0.51	0	0	0	0
Spink County	South Dakota	27	22	5	2	0	3	3	3	0.23	1.67	0.67	0	0.003	7383	1158	3002	0.157	0.407	0.12	0.12	0.12	387	12.15	3023	-2.03	6376	-45	-0.7	4.2
Stanley County	South Dakota	206	145	61	55	54	174	124	122	0.42	0.35	0.44	0.44	0.021	7013	576	2482	0.082	0.354	0.05	0.05	0.05	205.3	1	1246	0.13	3098	127	4.1	2
Sully County	South Dakota	7	6	1	0	0	2	1	1	0.17	0.5	0	0	0.001	4964	594	2552	0.12	0.514	0.08	0.06	0.06	135		710	0.73	1391	14	1	1.3
Todd County	South Dakota	9	5	4	1	1	2	2	1	0.8	2	0.5	1	0.001	3735	1246	1496	0.334	0.401	0.01	0.01	0.01	87		1756	-0.28	10177	535	5.3	7.3
Tripp County	South Dakota	67	27	40	16	15	24	24	22	1.48	1.67	0.67	0.68	0.005	5630	832	1644	0.148	0.292	0.09	0.07	0.07	43.6	-23.49	2453	-0.99	5441	-207	-3.8	3.4
Turner County	South Dakota	124	113	11	7	1	38	25	9	0.1	0.29	0.28	0.11	0.027	4195	487	1677	0.116	0.4	0.1	0.1	0.07	193.8	4.29	3105	-2.48	8384	32	0.4	13.6
Union County	South Dakota	200	182	18	5	0	54	16	16	0.1	0.33	0.31	0	0.044	4128	730	1226	0.177	0.297	0.19	0.18	0.18	320.6	1.74	2482	-1.02	15932	1441	9	34.1
Walworth County	South Dakota	52	47	5	0	0	18	17	17	0.11	0.28	0	0	0.011	4465	468	1689	0.105	0.378	0.04	0.04	0.04	35.8	2.38	2373	-0.9	5435	-7	-0.1	7.3
Yankton County	South Dakota	215	189	26	10	2	30	21	21	0.14	0.87	0.48	0.1	0.05	3803	395	1017	0.104	0.267	0.14	0.14	0.14	566	0.29	2624	-1.21	22814	378	1.7	42.8
Ziebach County	South Dakota	1	0	1	0	0	0	0	0	1	1	0	0	0	4938	664	3248	0.134	0.658	0	0	0			2158	-0.65	2756	-68	-2.5	1.4
Anderson County	Tennessee	638	344	294	134	66	225	129	72	0.85	1.31	1.04	0.92	0.072	4775	478	1415	0.1	0.296	0.31	0.3	0.29	185.9	1.47	644	0.84	76978	1880	2.4	223.2
Bedford County	Tennessee	1744	1566	178	46	19	191	128	83	0.11	0.93	0.36	0.23	0.426	3676	254	1050	0.069	0.286	0.66	0.65	0.65	150.4	8.13	1951	-0.45	49713	4635	9.3	104.7
Benton County	Tennessee	753	562	191	72	36	208	160	109	0.34	0.92	0.45	0.33	0.078	7242	1696	4133	0.234	0.571	0.43	0.4	0.4	195	1.68	1101	0.28	16160	-351	-2.2	37
Bledsoe County	Tennessee	1282	820	462	68	34	289	190	126	0.56	1.6	0.36	0.27	0.169	4864	1486	3022	0.306	0.621	0.58	0.55	0.55	192	-3.44	1898	-0.41	15064	2180	14.5	37
Blount County	Tennessee	1453	901	552	246	104	607	351	182	0.61	0.91	0.7	0.57	0.088	10290	1302	3003	0.127	0.292	0.42	0.41	0.41	195.2	2.91	859	0.54	133088	9889	7.4	234.9
Bradley County	Tennessee	1148	777	371	175	87	436	315	205	0.48	0.85	0.56	0.42	0.098	7937	530	1414	0.067	0.178	0.45	0.45	0.44	222	-1.67	1863	-0.37	108110	9027	8.3	326.1
Campbell County	Tennessee	1002	738	264	121	67	526	385	266	0.36	0.5	0.31	0.25	0.086	8605	2281	3592	0.265	0.417	0.4	0.39	0.39	175.7	6.22	485	1.17	39842	-893	-2.2	80
Cannon County	Tennessee	266	171	95	29	16	70	46	25	0.56	1.36	0.63	0.64	0.096	1773	178	805	0.1	0.454	0.29	0.29	0.28	108.5	-2.14	2980	-1.87	14678	881	6	55.2
Carroll County	Tennessee	736	560	176	54	20	212	167	130	0.31	0.83	0.32	0.15	0.087	6455	630	2046	0.098	0.317	0.61	0.6	0.59	198.7	-3.94	2747	-1.4	27767	-687	-2.5	46.3
Carter County	Tennessee	666	479	187	84	39	285	235	141	0.39	0.66	0.36	0.28	0.076	6284	1068	1970	0.17	0.313	0.32	0.32	0.31	182.3	0.35	362	1.55	56391	-951	-1.7	162.2
Cheatham County	Tennessee	492	369	123	38	12	149	82	50	0.33	0.83	0.46	0.24	0.091	4061	228	1427	0.056	0.351	0.46	0.43	0.43	175.7	-1.36	1824	-0.34	40667	1536	3.8	132.4
Chester County	Tennessee	251	213	38	11	6	84	48	42	0.18	0.45	0.23	0.14	0.071	3009	275	953	0.091	0.317	0.36	0.34	0.34	175.1	-6.5	2710	-1.34	17297	103	0.6	59.9
Claiborne County	Tennessee	1573	1222	351	110	45	562	372	213	0.29	0.62	0.3	0.21	0.152	8024	1930	2951	0.241	0.368	0.58	0.56	0.55	222.7	-0.69	772	0.65	31959	-256	-0.8	72.4
Clay County	Tennessee	615	474	141	39	15	168	108	50	0.3	0.84	0.36	0.3	0.175	2706	746	1536	0.276	0.568	0.47	0.44	0.44	214.4	3.51	820	0.57	7615	-229	-3	29.4
Cocke County	Tennessee	1704	1175	529	216	92	583	411	281	0.45	0.91	0.53	0.33	0.134	8782	2371	3728	0.27	0.425	0.35	0.36	0.36	193.5	0.29	553	1.02	36004	364	1	81.2
Coffee County	Tennessee	1301	869	432	83	42	211	142	92	0.5	2.05	0.58	0.46	0.112	7786	902	2902	0.116	0.373	0.46	0.43	0.42	204.4	-1.93	1888	-0.4	56520	3750	6.6	130.1
Crockett County	Tennessee	91	81	10	2	2	36	33	30	0.12	0.28	0.06	0.07	0.024	3405	221	1072	0.065	0.315	0.19	0.17	0.17	720.7	-4.51	2790	-1.46	14230	-358	-2.5	53.6
Cumberland County	Tennessee	4406	3077	1329	524	262	1823	1062	659	0.43	0.73	0.49	0.4	0.09	34172	12617	18303	0.369	0.536	0.74	0.73	0.72	426.3	1.89	1127	0.26	60520	4327	7.1	88.4
Davidson County	Tennessee	1104	679	425	121	59	561	357	240	0.63	0.76	0.34	0.25	0.03	22481	1561	6150	0.069	0.274	0.47	0.43	0.41	174.7	1.7	1393	0.01	694144	66398	9.6	1319.4
Decatur County	Tennessee	624	472	152	61	24	207	148	120	0.32	0.73	0.41	0.2	0.081	5852	626	2858	0.107	0.488	0.59	0.56	0.56	200.8	-2.75	1010	0.36	11663	-54	-0.5	33.8
DeKalb County	Tennessee	1105	833	272	88	41	483	280	165	0.33	0.56	0.31	0.25	0.109	7673	1135	4988	0.148	0.65	0.48	0.47	0.46	192.5	-2.01	911	0.47	20490	1795	8.8	62.3
Dickson County	Tennessee	880	635	245	81	49	188	110	59	0.39	1.3	0.74	0.83	0.113	5605	396	1790	0.071	0.319	0.67	0.66	0.66	153.1	-2.31	2096	-0.58	53948	4264	7.9	109.8
Dyer County	Tennessee	201	143	58	37	13	100	75	71	0.41	0.58	0.49	0.18	0.026	5399	452	1307	0.084	0.242	0.35	0.35	0.32	239.2	-21.13	1857	-0.37	37159	-1159	-3.1	70.6
Fayette County	Tennessee	837	558	279	98	53	271	174	82	0.5	1.03	0.56	0.65	0.095	5873	540	2801	0.092	0.477	0.65	0.6	0.6	264.1	3.09	2326	-0.84	41133	2706	6.6	58.2
Fentress County	Tennessee	1368	919	449	141	49	415	254	143	0.49	1.08	0.56	0.34	0.145	6319	1546	2584	0.245	0.409	0.63	0.55	0.54	188	-4.67	1721	-0.24	18523	600	3.2	37.1
Franklin County	Tennessee	1000	690	310	120	61	324	210	148	0.45	0.96	0.57	0.41	0.123	5593	588	1862	0.105	0.333	0.73	0.74	0.74	122.4	-4.79	641	0.85	42208	1249	3	73.3
Gibson County	Tennessee	416	294	122	48	16	186	161	150	0.41	0.66	0.3	0.11	0.037	7879	603	2056	0.077	0.261	0.44	0.42	0.42	124.2	-1.71	2806	-1.48	49133	-598	-1.2	81.4
Giles County	Tennessee	835	577	258	80	37	163	105	68	0.45	1.58	0.76	0.54	0.133	4349	880	1613	0.202	0.371	0.64	0.56	0.56	182	2.2	2421	-0.96	29464	58	0.2	48.2
Grainger County	Tennessee	1587	1130	457	104	46	491	366	248	0.4	0.93	0.28	0.19	0.256	4421	833	2038	0.188	0.461	0.59	0.59	0.6	206.4	5.34	551	1.03	23320	599	2.6	77.1
Greene County	Tennessee	2086	1513	573	209	90	730	635	412	0.38	0.78	0.33	0.22	0.144	10505	1176	2409	0.112	0.229	0.43	0.43	0.43	184.1	2.11	1994	-0.48	69069	235	0.3	110.7
Grundy County	Tennessee	1202	736	466	137	38	266	132	72	0.63	1.75	1.04	0.53	0.166	4429	822	2044	0.186	0.462	0.63	0.55	0.53	291	-0.59	1832	-0.34	13427	-298	-2.2	37.2
Hamblen County	Tennessee	943	658	285	95	51	365	267	175	0.43	0.78	0.36	0.29	0.126	5221	509	1134	0.097	0.217	0.41	0.39	0.39	262	-0.21	674	0.78	64934	2424	3.7	369.4
Hamilton County	Tennessee	2864	1637	1227	389	182	983	612	373	0.75	1.25	0.64	0.49	0.074	22039	2273	3649	0.103	0.166	0.51	0.43	0.42	196.2	-3.37	883	0.51	367804	30590	8.3	638.9
Hancock County	Tennessee	670	536	134	30	21	91	67	48	0.25	1.47	0.45	0.44	0.231	2319	470	1342	0.203	0.579	0.51	0.47	0.47	129.9	3.11	1597	-0.15	6620	-178	-2.7	29.6
Hardeman County	Tennessee	621	402	219	49	15	120	82	49	0.54	1.82	0.6	0.31	0.045	8876	1296	3368	0.146	0.379	0.61	0.58	0.58	213.4	2.29	2285	-0.79	25050	-2119	-8.5	37.4
Hardin County	Tennessee	976	636	340	128	58	448	255	172	0.53	0.76	0.5	0.34	0.057	11123	1601	4879	0.144	0.439	0.55	0.53	0.52	238.1	1.28	1186	0.2	25652	-398	-1.6	43
Hawkins County	Tennessee	2142	1567	575	227	109	704	582	362	0.37	0.82	0.39	0.3	0.135	11579	2278	4895	0.197	0.423	0.6	0.6	0.6	200.5	-0.54	1023	0.35	56786	-84	-0.1	113.7
Haywood County	Tennessee	158	114	44	25	14	57	46	41	0.39	0.77	0.54	0.34	0.03	3748	441	1575	0.118	0.42	0.53	0.5	0.45	108.5	17.19	2644	-1.24	17304	-1508	-8.7	32.4
Henderson County	Tennessee	473	380	93	31	12	120	98	81	0.24	0.78	0.32	0.15	0.075	5084	464	1750	0.091	0.344	0.45	0.44	0.44	167.9	-1.58	951	0.44	28117	329	1.2	53.5
Henry County	Tennessee	446	309	137	40	14	83	55	35	0.44	1.65	0.73	0.4	0.035	8831	1335	3367	0.151	0.381	0.56	0.52	0.52	262.6	-2.06	1576	-0.13	32345	-53	-0.2	54.5
Hickman County	Tennessee	688	462	226	49	25	136	92	61	0.49	1.66	0.53	0.41	0.061	7528	624	3168	0.083	0.421	0.55	0.51	0.51	129.3	0.17	2841	-1.55	25178	531	2.1	41.1
Houston County	Tennessee	323	249	74	26	14	67	41	26	0.3	1.1	0.63	0.54	0.116	2142	314	1067	0.147	0.498	0.35	0.35	0.35	124.4	-1.3	1361	0.04	8201	-250	-3	39.6
Humphreys County	Tennessee	837	568	269	66	23	203	134	81	0.47	1.33	0.49	0.28	0.13	4355	710	1969	0.163	0.452	0.53	0.49	0.49	172	-5.17	835	0.56	18582	24	0.1	33.4
Jackson County	Tennessee	618	408	210	64	23	113	73	32	0.51	1.86	0.88	0.72	0.142	2867	457	1417	0.159	0.494	0.44	0.42	0.41	171.2	0.94	1392	0.01	11786	161	1.4	36.9
Jefferson County	Tennessee	1900	1300	600	269	133	814	572	360	0.46	0.74	0.47	0.37	0.5	2599	170	628	0.065	0.242	0.44	0.36	0.35	222.2	1.19	857	0.54	54495	2781	5.1	173.4
Johnson County	Tennessee	1026	763	263	81	41	395	318	197	0.34	0.67	0.25	0.21	0.153	4999	1762	2219	0.352	0.444	0.43	0.4	0.4	216.3	-7.66	1048	0.33	17788	-498	-2.8	58.8
Knox County	Tennessee	1788	986	802	312	145	768	476	284	0.81	1.04	0.66	0.51	0.049	20294	1275	2940	0.063	0.145	0.44	0.41	0.4	180.6	-1.83	1445	-0.03	470313	37375	7.9	894.5
Lake County	Tennessee	32	27	5	3	0	8	5	5	0.19	0.62	0.6	0	0.019	1439	164	579	0.114	0.402	0.07	0.06	0.06	168.2	0	1934	-0.44	7016	-811	-11.6	36.2
